model,epoch,batch,lr,gradient_accumulation_steps,label_smoothing,type,Dataset
facebook/mbart-large-cc25,11,4,0.0001,16,0.15,paragraph-level QG,MLQG-De
google/mt5-base,17,4,0.0005,16,0.15,paragraph-level QG,MLQG-De
google/mt5-small,11,16,0.001,4,0.15,paragraph-level QG,MLQG-De
facebook/mbart-large-cc25,4,4,0.0001,16,0.15,paragraph-level QG,MLQG-Es
google/mt5-base,10,4,0.0005,16,0.15,paragraph-level QG,MLQG-Es
google/mt5-small,16,64,0.0005,1,0.15,paragraph-level QG,MLQG-Es
facebook/mbart-large-cc25,8,4,0.001,16,0.15,paragraph-level QG,MLQG-Fr
google/mt5-base,24,4,0.0001,16,0.15,paragraph-level QG,MLQG-Fr
google/mt5-small,14,64,0.001,1,0.15,paragraph-level QG,MLQG-Fr
facebook/mbart-large-cc25,8,4,0.0001,16,0.15,paragraph-level QG,MLQG-It
google/mt5-base,11,4,0.001,16,0.15,paragraph-level QG,MLQG-It
google/mt5-small,15,16,0.0005,4,0.0,paragraph-level QG,MLQG-It
facebook/mbart-large-cc25,12,64,0.0001,1,0.15,paragraph-level QG,MLQG-Ja
google/mt5-base,30,32,0.0001,2,0.0,paragraph-level QG,MLQG-Ja
google/mt5-small,21,64,0.0005,1,0.0,paragraph-level QG,MLQG-Ja
facebook/mbart-large-cc25,6,4,0.0001,16,0.15,paragraph-level QG,MLQG-Ko
google/mt5-base,11,4,0.0005,16,0.15,paragraph-level QG,MLQG-Ko
google/mt5-small,7,16,0.001,4,0.15,paragraph-level QG,MLQG-Ko
facebook/mbart-large-cc25,17,4,0.0001,16,0.15,paragraph-level QG,MLQG-Ru
google/mt5-base,16,4,0.0005,16,0.15,paragraph-level QG,MLQG-Ru
google/mt5-small,5,64,0.001,1,0.15,paragraph-level QG,MLQG-Ru
facebook/bart-base,4,32,0.0001,8,0.15,answer-free QG,SQuAD
facebook/bart-base,7,32,0.0001,8,0.15,paragraph-level QG,SQuAD
facebook/bart-base,3,64,0.0001,2,0.15,sentence-level QG,SQuAD
facebook/bart-large,4,32,5e-05,4,0.15,answer-free QG,SQuAD
facebook/bart-large,4,32,5e-05,4,0.15,paragraph-level QG,SQuAD
facebook/bart-large,8,32,5e-05,16,0.15,sentence-level QG,SQuAD
facebook/mbart-large-cc25,6,32,0.0001,2,0.15,paragraph-level QG,SQuAD
google/mt5-base,5,32,0.001,2,0.15,paragraph-level QG,SQuAD
google/mt5-small,15,64,0.0005,1,0.15,paragraph-level QG,SQuAD
t5-base,8,16,0.0001,4,0.15,answer-free QG,SQuAD
t5-base,5,16,0.0001,4,0.15,paragraph-level QG,SQuAD
t5-base,8,64,0.0001,1,0.15,sentence-level QG,SQuAD
t5-large,7,16,5e-05,4,0.15,answer-free QG,SQuAD
t5-large,6,16,5e-05,4,0.15,paragraph-level QG,SQuAD
t5-large,6,16,5e-05,4,0.15,sentence-level QG,SQuAD
t5-small,7,64,0.0001,4,0.15,answer-free QG,SQuAD
t5-small,9,64,0.0001,1,0.15,paragraph-level QG,SQuAD
t5-small,8,64,0.0001,1,0.15,sentence-level QG,SQuAD
