Worker ID,Link to Individual Worker Page,Number of HITs approved or rejected - Lifetime,Number of HITs approved - Lifetime,Your Lifetime approval rate,Number of HITs approved or rejected - Last 30 days,Number of HITs approved - Last 30 days,Your Last 30 days approval rate,Number of HITs approved or rejected - Last 7 days,Number of HITs approved - Last 7 days,Your Last 7 days approval rate,CURRENT-QG Evaluation Qualified (new worker),UPDATE-QG Evaluation Qualified (new worker),CURRENT-QG Evaluation Qualified,UPDATE-QG Evaluation Qualified,CURRENT BlockStatus,UPDATE BlockStatus,BlockReason
A10NF5TK6IFNX6,https://requester.mturk.com/workers/A10NF5TK6IFNX6,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A110KENBXU7SUJ,https://requester.mturk.com/workers/A110KENBXU7SUJ,1,1,100.00%,0,0,0.00%,0,0,0.00%,100,100,100,,Never Blocked,,
A1153ZIEQX0ZJ8,https://requester.mturk.com/workers/A1153ZIEQX0ZJ8,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,0,0,,Never Blocked,,
A11S8IAAVDXCUS,https://requester.mturk.com/workers/A11S8IAAVDXCUS,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,0,100,,Never Blocked,,
A13XXMDHOULEZ7,https://requester.mturk.com/workers/A13XXMDHOULEZ7,57,57,100.00%,56,56,100.00%,15,15,100.00%,0,0,100,,Never Blocked,,
A147F5PJTHOB8A,https://requester.mturk.com/workers/A147F5PJTHOB8A,1,1,100.00%,1,1,100.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A14W0AXTJ3R19V,https://requester.mturk.com/workers/A14W0AXTJ3R19V,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A15EZJS1DROADE,https://requester.mturk.com/workers/A15EZJS1DROADE,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A18LFH7XW61JO9,https://requester.mturk.com/workers/A18LFH7XW61JO9,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A19F9CLZ0XWBYR,https://requester.mturk.com/workers/A19F9CLZ0XWBYR,0,0,0.00%,0,0,0.00%,0,0,0.00%,100,0,0,,Never Blocked,,
A19R04IXWA4ZLX,https://requester.mturk.com/workers/A19R04IXWA4ZLX,1,1,100.00%,0,0,0.00%,0,0,0.00%,100,100,100,,Never Blocked,,
A1AXD2Q0MREL8W,https://requester.mturk.com/workers/A1AXD2Q0MREL8W,1,1,100.00%,1,1,100.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A1CFMY4CEYOM8Y,https://requester.mturk.com/workers/A1CFMY4CEYOM8Y,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A1CHC8M7CWC254,https://requester.mturk.com/workers/A1CHC8M7CWC254,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A1D4I1QYL9713I,https://requester.mturk.com/workers/A1D4I1QYL9713I,1,1,100.00%,1,1,100.00%,0,0,0.00%,0,0,0,,Never Blocked,,
A1DD23J1WBGQUU,https://requester.mturk.com/workers/A1DD23J1WBGQUU,1,1,100.00%,0,0,0.00%,0,0,0.00%,0,0,0,,Never Blocked,,
