dataset_name,model,epoch,batch,lr,gradient_accumulation_steps,label_smoothing
books,facebook/bart-base,1,8,5e-05,16,0.15
electronics,facebook/bart-base,1,8,5e-05,16,0.15
grocery,facebook/bart-base,1,8,1e-05,8,0.15
movies,facebook/bart-base,1,8,5e-05,16,0.15
restaurants,facebook/bart-base,1,8,1e-05,8,0.15
tripadvisor,facebook/bart-base,4,8,5e-05,8,0.15
books,facebook/bart-large,1,8,1e-05,8,0.15
electronics,facebook/bart-large,1,8,1e-05,8,0.15
grocery,facebook/bart-large,3,8,5e-05,8,0.15
movies,facebook/bart-large,3,8,0.0001,8,0.15
restaurants,facebook/bart-large,1,8,5e-05,8,0.15
tripadvisor,facebook/bart-large,1,8,1e-05,16,0.15
books,lmqg/bart-base-squad,2,32,0.0001,4,0.0
electronics,lmqg/bart-base-squad,3,32,0.0001,2,0.0
grocery,lmqg/bart-base-squad,2,32,5e-05,4,0.15
movies,lmqg/bart-base-squad,1,32,5e-05,2,0.15
restaurants,lmqg/bart-base-squad,4,32,5e-05,2,0.15
tripadvisor,lmqg/bart-base-squad,1,32,0.0001,4,0.15
books,lmqg/bart-large-squad,2,8,0.0001,8,0.15
electronics,lmqg/bart-large-squad,4,8,5e-05,8,0.15
grocery,lmqg/bart-large-squad,4,8,5e-05,32,0.15
movies,lmqg/bart-large-squad,3,8,0.0001,16,0.15
restaurants,lmqg/bart-large-squad,1,8,0.0001,8,0.15
tripadvisor,lmqg/bart-large-squad,3,8,0.0001,16,0.15
books,lmqg/t5-base-squad,3,16,0.0001,4,0.15
electronics,lmqg/t5-base-squad,4,16,5e-05,4,0.0
grocery,lmqg/t5-base-squad,2,16,0.0001,32,0.0
movies,lmqg/t5-base-squad,3,16,0.0001,4,0.0
restaurants,lmqg/t5-base-squad,1,16,5e-05,32,0.15
tripadvisor,lmqg/t5-base-squad,1,16,0.0001,32,0.15
books,lmqg/t5-large-squad,4,16,0.0001,4,0.15
electronics,lmqg/t5-large-squad,3,16,0.0001,8,0.0
grocery,lmqg/t5-large-squad,3,16,5e-05,32,0.15
movies,lmqg/t5-large-squad,6,16,0.0001,4,0.0
restaurants,lmqg/t5-large-squad,6,16,0.0001,4,0.15
tripadvisor,lmqg/t5-large-squad,1,16,0.0001,4,0.15
books,lmqg/t5-small-squad,2,32,0.0001,2,0.15
electronics,lmqg/t5-small-squad,5,32,0.0001,2,0.15
grocery,lmqg/t5-small-squad,3,32,5e-05,2,0.15
movies,lmqg/t5-small-squad,4,32,0.0001,2,0.0
restaurants,lmqg/t5-small-squad,2,32,1e-05,4,0.15
tripadvisor,lmqg/t5-small-squad,2,32,0.0001,4,0.0
books,t5-base,1,16,1e-05,8,0.15
electronics,t5-base,1,16,5e-05,4,0.15
grocery,t5-base,3,16,1e-05,8,0.15
movies,t5-base,1,16,1e-05,8,0.15
restaurants,t5-base,1,16,1e-05,8,0.15
tripadvisor,t5-base,1,16,1e-05,4,0.15
books,t5-large,1,16,1e-05,8,0.15
electronics,t5-large,1,16,1e-05,8,0.15
grocery,t5-large,1,16,1e-05,8,0.15
movies,t5-large,14,16,0.0001,4,0.15
restaurants,t5-large,1,16,1e-05,8,0.15
tripadvisor,t5-large,3,16,1e-05,8,0.15
books,t5-small,1,32,5e-05,2,0.15
electronics,t5-small,1,32,0.0001,4,0.15
grocery,t5-small,3,32,1e-05,4,0.15
movies,t5-small,1,32,0.0001,2,0.15
restaurants,t5-small,2,32,5e-05,4,0.15
tripadvisor,t5-small,1,32,1e-05,2,0.15
